[2026-05-28 11:37:39,813] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-28 11:37:40,061] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:37:40,082] INFO [pdf_compliance.init_db:112] - Inserted default compliance rules.
[2026-05-28 11:37:40,083] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:37:50,523] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-28 11:37:50,609] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:37:50,609] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:38:50,798] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-28 11:38:50,988] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:38:50,993] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:40:06,453] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:40:06,461] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:40:14,093] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:40:14,099] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:40:20,734] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:40:20,736] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:40:59,280] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:40:59,283] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:41:02,499] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:41:02,501] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:41:03,914] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:41:03,920] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:42:55,594] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-28 11:42:55,694] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:42:55,695] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:43:04,575] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-28 11:43:04,591] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:43:04,592] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:43:06,785] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:43:06,786] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 11:43:17,730] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 11:43:17,739] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-28 15:30:42,035] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-28 15:30:42,227] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-28 15:30:42,232] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 18:11:29,197] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 18:11:29,391] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 18:11:29,395] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 18:11:37,828] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 18:11:37,832] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 18:11:55,710] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 18:11:55,716] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 18:12:02,508] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 18:12:02,518] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 18:12:50,690] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 18:12:50,700] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:32:18,733] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:32:18,843] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:32:18,846] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:33:32,456] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:33:32,580] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:33:32,582] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:33:41,798] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:33:41,805] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:33,147] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:37:33,158] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:33,161] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:33,984] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:33,988] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:43,482] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:43,491] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:46,130] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:46,132] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:46,735] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:46,740] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:49,431] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:49,438] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:50,183] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:50,188] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:51,529] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:51,537] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:53,663] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:53,673] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:37:59,660] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:37:59,661] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:38:51,669] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:38:51,677] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:38:51,679] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:38:53,921] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:38:53,924] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:40:09,711] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:40:09,820] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:40:09,821] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:40:22,007] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:40:22,015] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:40:22,016] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:40:25,033] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:40:25,039] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:40:43,082] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:40:43,088] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:41:32,934] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:41:32,941] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:41:33,566] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:41:33,572] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:07,961] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:42:08,059] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:08,061] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:15,915] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:42:15,924] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:15,924] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:17,483] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:17,487] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:18,298] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:18,300] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:20,616] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:20,622] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:21,683] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:21,686] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:24,231] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:24,234] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:42:40,881] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:42:40,884] INFO [pdf_compliance.init_db:116] - Database initialized successfully.
[2026-05-29 22:52:58,124] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:52:58,235] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:52:58,241] INFO [pdf_compliance.init_db:174] - Inserted default settings.
[2026-05-29 22:52:58,242] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:54:21,150] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:54:21,259] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:54:21,261] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:54:41,161] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:55:21,468] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:55:21,568] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:55:21,570] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:55:31,076] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:55:31,200] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:55:31,200] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:55:31,202] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:56:18,848] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:56:18,850] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:56:26,650] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:56:26,652] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:56:33,972] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:56:33,976] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:56:39,672] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:56:39,675] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:56:42,007] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:56:42,011] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:56:44,107] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:56:44,111] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:57:09,343] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:57:09,463] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:57:09,463] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:57:09,464] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:57:19,313] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:57:19,416] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:57:19,417] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:57:19,419] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:58:02,287] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:58:02,298] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:58:02,298] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:58:02,299] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:58:20,234] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:58:20,241] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:58:20,241] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:58:20,242] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 22:58:44,111] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 22:58:44,247] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 22:58:44,247] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 22:58:44,248] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:03:59,471] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:03:59,594] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:03:59,594] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:03:59,595] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:05:13,866] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:05:13,877] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:05:13,878] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:05:13,879] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:05:21,647] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:05:21,766] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:05:21,766] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:05:21,767] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:05:42,472] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:05:42,596] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:05:42,597] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:05:42,597] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:08:18,179] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:08:18,324] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:08:18,324] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:08:18,325] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:43,936] INFO [pdf_compliance._load_index:33] - Initialized new empty FAISS IndexFlatL2 index.
[2026-05-29 23:12:44,069] INFO [pdf_compliance.start:39] - Ingestion Sync background daemon started.
[2026-05-29 23:12:44,069] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:44,070] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,001] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:48,006] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,076] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:48,078] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,898] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
[2026-05-29 23:12:48,903] INFO [pdf_compliance.init_db:178] - Database initialized successfully.
[2026-05-29 23:12:48,971] INFO [pdf_compliance.init_db:19] - Initializing SQLite Database...
